season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2022,7,monaco,perez,1990-01-26,Mexican,red_bull,3,6990265,Finished,25,1
2022,7,monaco,sainz,1994-09-01,Spanish,ferrari,2,6991419,Finished,18,2
2022,7,monaco,max_verstappen,1997-09-30,Dutch,red_bull,4,6991756,Finished,15,3
2022,7,monaco,leclerc,1997-10-16,Monegasque,ferrari,1,6993187,Finished,12,4
2022,7,monaco,russell,1998-02-15,British,mercedes,6,7002233,Finished,10,5
2022,7,monaco,norris,1999-11-13,British,mclaren,5,7002496,Finished,9,6
2022,7,monaco,alonso,1981-07-29,Spanish,alpine,7,7036623,Finished,6,7
2022,7,monaco,hamilton,1985-01-07,British,mercedes,8,7040653,Finished,4,8
2022,7,monaco,bottas,1989-08-28,Finnish,alfa,12,7042790,Finished,2,9
2022,7,monaco,vettel,1987-07-03,German,aston_martin,9,7043801,Finished,1,10
2022,7,monaco,gasly,1996-02-07,French,alphatauri,17,7044554,Finished,0,11
2022,7,monaco,ocon,1996-09-17,French,alpine,10,7045909,Finished,0,12
2022,7,monaco,ricciardo,1989-07-01,Australian,mclaren,14,7047900,Finished,0,13
2022,7,monaco,stroll,1998-10-29,Canadian,aston_martin,18,7051067,Finished,0,14
2022,7,monaco,latifi,1995-06-29,Canadian,williams,19,,+1 Lap,0,15
2022,7,monaco,zhou,1999-05-30,Chinese,alfa,20,,+1 Lap,0,16
2022,7,monaco,tsunoda,2000-05-11,Japanese,alphatauri,11,,+1 Lap,0,17
2022,7,monaco,albon,1996-03-23,Thai,williams,16,,Mechanical,0,18
2022,7,monaco,mick_schumacher,1999-03-22,German,haas,15,,Accident,0,19
2022,7,monaco,kevin_magnussen,1992-10-05,Danish,haas,13,,Water pressure,0,20
2023,1,bahrain,max_verstappen,1997-09-30,Dutch,red_bull,1,5636736,Finished,25,1
2023,1,bahrain,perez,1990-01-26,Mexican,red_bull,2,5648723,Finished,18,2
2023,1,bahrain,alonso,1981-07-29,Spanish,aston_martin,5,5675373,Finished,15,3
2023,1,bahrain,sainz,1994-09-01,Spanish,ferrari,4,5684788,Finished,12,4
2023,1,bahrain,hamilton,1985-01-07,British,mercedes,7,5687713,Finished,10,5
2023,1,bahrain,stroll,1998-10-29,Canadian,aston_martin,8,5691238,Finished,8,6
2023,1,bahrain,russell,1998-02-15,British,mercedes,6,5692609,Finished,6,7
2023,1,bahrain,bottas,1989-08-28,Finnish,alfa,12,5709383,Finished,4,8
2023,1,bahrain,gasly,1996-02-07,French,alpine,20,5710489,Finished,2,9
2023,1,bahrain,albon,1996-03-23,Thai,williams,15,5726510,Finished,1,10
2023,1,bahrain,tsunoda,2000-05-11,Japanese,alphatauri,14,5727606,Finished,0,11
2023,1,bahrain,sargeant,2000-12-31,American,williams,16,,+1 Lap,0,12
2023,1,bahrain,kevin_magnussen,1992-10-05,Danish,haas,17,,+1 Lap,0,13
2023,1,bahrain,de_vries,1995-02-06,Dutch,alphatauri,19,,+1 Lap,0,14
2023,1,bahrain,hulkenberg,1987-08-19,German,haas,10,,+1 Lap,0,15
2023,1,bahrain,zhou,1999-05-30,Chinese,alfa,13,,+1 Lap,0,16
2023,1,bahrain,norris,1999-11-13,British,mclaren,11,,+2 Laps,0,17
2023,1,bahrain,ocon,1996-09-17,French,alpine,9,,Mechanical,0,18
2023,1,bahrain,leclerc,1997-10-16,Monegasque,ferrari,3,,Engine,0,19
2023,1,bahrain,piastri,2001-04-06,Australian,mclaren,18,,Electrical,0,20
2023,2,jeddah,perez,1990-01-26,Mexican,red_bull,1,4874894,Finished,25,1
2023,2,jeddah,max_verstappen,1997-09-30,Dutch,red_bull,15,4880249,Finished,19,2
2023,2,jeddah,alonso,1981-07-29,Spanish,aston_martin,2,4895622,Finished,15,3
2023,2,jeddah,russell,1998-02-15,British,mercedes,3,4900760,Finished,12,4
2023,2,jeddah,hamilton,1985-01-07,British,mercedes,7,4905959,Finished,10,5
2023,2,jeddah,sainz,1994-09-01,Spanish,ferrari,4,4910770,Finished,8,6
2023,2,jeddah,leclerc,1997-10-16,Monegasque,ferrari,12,4918056,Finished,6,7
2023,2,jeddah,ocon,1996-09-17,French,alpine,6,4927726,Finished,4,8
2023,2,jeddah,gasly,1996-02-07,French,alpine,9,4929641,Finished,2,9
2023,2,jeddah,kevin_magnussen,1992-10-05,Danish,haas,13,4939720,Finished,1,10
2023,2,jeddah,tsunoda,2000-05-11,Japanese,alphatauri,16,4942388,Finished,0,11
2023,2,jeddah,hulkenberg,1987-08-19,German,haas,10,4945482,Finished,0,12
2023,2,jeddah,zhou,1999-05-30,Chinese,alfa,11,4950954,Finished,0,13
2023,2,jeddah,de_vries,1995-02-06,Dutch,alphatauri,18,4952372,Finished,0,14
2023,2,jeddah,piastri,2001-04-06,Australian,mclaren,8,4959915,Finished,0,15
2023,2,jeddah,sargeant,2000-12-31,American,williams,20,4961187,Finished,0,16
2023,2,jeddah,norris,1999-11-13,British,mclaren,19,4961339,Finished,0,17
2023,2,jeddah,bottas,1989-08-28,Finnish,alfa,14,,+1 Lap,0,18
2023,2,jeddah,albon,1996-03-23,Thai,williams,17,,Brakes,0,19
2023,2,jeddah,stroll,1998-10-29,Canadian,aston_martin,5,,Engine,0,20
2023,3,albert_park,max_verstappen,1997-09-30,Dutch,red_bull,1,9158371,Finished,25,1
2023,3,albert_park,hamilton,1985-01-07,British,mercedes,3,9158550,Finished,18,2
2023,3,albert_park,alonso,1981-07-29,Spanish,aston_martin,4,9159140,Finished,15,3
2023,3,albert_park,stroll,1998-10-29,Canadian,aston_martin,6,9161453,Finished,12,4
2023,3,albert_park,perez,1990-01-26,Mexican,red_bull,0,9161691,Finished,11,5
2023,3,albert_park,norris,1999-11-13,British,mclaren,13,9162072,Finished,8,6
2023,3,albert_park,hulkenberg,1987-08-19,German,haas,10,9163310,Finished,6,7
2023,3,albert_park,piastri,2001-04-06,Australian,mclaren,16,9163753,Finished,4,8
2023,3,albert_park,zhou,1999-05-30,Chinese,alfa,17,9164084,Finished,2,9
